	sector	community_name	group_category	category	count	resident_count	date	year	month	id	geocoded_column_latitude	geocoded_column_longitude	geocoded_column_human_address	:@computed_region_4a3i_ccfj	:@computed_region_p8tp_5dkv	:@computed_region_4b54_tmc4	:@computed_region_kxmf_bzkv
0	NORTH	THORNCLIFFE	Crime	Theft FROM Vehicle	9	8474	2018-03-01T12:00:00.000	2018	MAR	2018-MAR-THORNCLIFFE-Theft FROM Vehicle-9	51.103099554741	-114.068779421169	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	2	4	2	192
1	SOUTH	WOODBINE	Crime	Theft FROM Vehicle	3	8866	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WOODBINE-Theft FROM Vehicle-3	50.939610852207664	-114.12962865374453	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	1	6	5	43
2	SOUTH	WILLOW PARK	Crime	Theft FROM Vehicle	4	5328	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WILLOW PARK-Theft FROM Vehicle-4	50.95661926653037	-114.05620194518823	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	3	5	6	89
3	SOUTH	WILLOW PARK	Crime	Commercial Robbery	1	5328	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WILLOW PARK-Commercial Robbery-1	50.95661926653037	-114.05620194518823	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	3	5	6	89
4	WEST	LINCOLN PARK	Crime	Commercial Break & Enter	5	2617	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-LINCOLN PARK-Commercial Break & Enter-5	51.0100906918158	-114.12955694059636	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	1	2	8	42
5	CENTRE	RAMSAY	Disorder	Social Disorder	11	2158	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-RAMSAY-Social Disorder-11	51.036411166546735	-114.0425324585402	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	3	11	10	132
6	WEST	ASPEN WOODS	Crime	Commercial Break & Enter	1	9446	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-ASPEN WOODS-Commercial Break & Enter-1	51.04513096885138	-114.20787627029682	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	1	14	1	48
7	SOUTHEAST	SHEPARD INDUSTRIAL	Crime	Theft OF Vehicle	2	255	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SHEPARD INDUSTRIAL-Theft OF Vehicle-2	50.96148345779227	-113.99277756785193	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	3	8	4	162
8	WEST	NORTH GLENMORE PARK	Disorder	Social Disorder	12	2391	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-NORTH GLENMORE PARK-Social Disorder-12	51.001422376521376	-114.11224656687682	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	1	5	8	122
9	SOUTH	LAKE BONAVISTA	Crime	Assault (Non-domestic)	1	10293	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-LAKE BONAVISTA-Assault (Non-domestic)-1	50.93980907043577	-114.05132286943763	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	3	13	6	267
10	SOUTH	SHAWNESSY	Crime	Commercial Break & Enter	1	9368	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SHAWNESSY-Commercial Break & Enter-1	50.90330332947782	-114.0737568214987	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	1	6	5	115
11	CENTRE	DOWNTOWN WEST END	Disorder	Social Disorder	25	2785	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-DOWNTOWN WEST END-Social Disorder-25	51.04796931133656	-114.08777972149832	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"	1	2	14	45
